,country_id,country_name,continent_name,date,confirmed,deaths,recovered,active,case_fatality,new_cases,new_deaths,new_recovered,population,vaccinated_per_hundred,fully_vaccinated_per_hundred,boosted_per_hundred,not_fully_vaccinated_per_hundred,hospital_occupancy
76,AUS,Australia,Oceania,2020-04-07,5895.0,45.0,1080.0,4770.0,0.76,98.0,5.0,0.0,25687041.0,0.0,0.0,0.0,0.0,263.0
77,AUS,Australia,Oceania,2020-04-08,6010.0,50.0,1080.0,4880.0,0.83,115.0,5.0,0.0,25687041.0,0.0,0.0,0.0,0.0,262.0
78,AUS,Australia,Oceania,2020-04-09,6108.0,51.0,1472.0,4585.0,0.83,98.0,1.0,392.0,25687041.0,0.0,0.0,0.0,0.0,247.0
79,AUS,Australia,Oceania,2020-04-10,6215.0,54.0,1793.0,4368.0,0.87,107.0,3.0,321.0,25687041.0,0.0,0.0,0.0,0.0,240.0
80,AUS,Australia,Oceania,2020-04-11,6303.0,57.0,1806.0,4440.0,0.9,88.0,3.0,13.0,25687041.0,0.0,0.0,0.0,0.0,239.0
81,AUS,Australia,Oceania,2020-04-12,6315.0,60.0,1806.0,4449.0,0.95,12.0,3.0,0.0,25687041.0,0.0,0.0,0.0,0.0,227.0
82,AUS,Australia,Oceania,2020-04-13,6351.0,61.0,1806.0,4484.0,0.96,36.0,1.0,0.0,25687041.0,0.0,0.0,0.0,0.0,230.0
83,AUS,Australia,Oceania,2020-04-14,6415.0,62.0,2186.0,4167.0,0.97,64.0,1.0,380.0,25687041.0,0.0,0.0,0.0,0.0,214.0
84,AUS,Australia,Oceania,2020-04-15,6440.0,63.0,2186.0,4191.0,0.98,25.0,1.0,0.0,25687041.0,0.0,0.0,0.0,0.0,201.0
85,AUS,Australia,Oceania,2020-04-16,6462.0,63.0,2355.0,4044.0,0.97,22.0,0.0,169.0,25687041.0,0.0,0.0,0.0,0.0,192.0
86,AUS,Australia,Oceania,2020-04-17,6522.0,66.0,3808.0,2648.0,1.01,60.0,3.0,1453.0,25687041.0,0.0,0.0,0.0,0.0,184.0
87,AUS,Australia,Oceania,2020-04-18,6568.0,67.0,4124.0,2377.0,1.02,46.0,1.0,316.0,25687041.0,0.0,0.0,0.0,0.0,177.0
